TIC,provenance,rotate?,prot,snr,power,mpower,func,gmag
60903678,Hyades,1.0,8.130081300813002,101074.23332645422,0.7656521343747769,9.324865016550331e-06,0.15688218306883456,7.886146
16048383,Hyades,1.0,8.620689655172407,20966.606040384762,0.6234528396646081,3.52901257537603e-05,0.09686726214969801,7.896926
60903802,Hyades,1.0,9.009009009009002,88994.17657297968,0.8669114320362735,1.0353695888889482e-05,0.16185972115826355,7.950683
436590739,Hyades,1.0,9.345794392523358,6288.063921232482,0.33908405354861465,5.267957753319294e-05,0.198814613737009,8.138844
435883224,Hyades,1.0,6.172839506172835,1166.2021550098048,0.5034160980737614,0.00046278860137775,0.11311665367987131,8.107573
435907579,Hyades,1.0,9.803921568627445,34000.268080814756,0.3888701037350171,2.3643468520085535e-05,0.1355810385070372,8.279239
17554784,Hyades,1.0,11.49425287356321,25034.52301853483,0.556859786173453,9.170261296111382e-05,0.22249324461489706,8.441752
17198787,Hyades,1.0,4.366812227074233,9857.395691265925,0.6018231083355715,6.347046301700461e-05,0.07157080051081441,8.424586
245835422,Hyades,1.0,8.695652173913038,12419.068576403053,0.5823626090762379,4.753172361087302e-05,0.10048674010784076,8.475605
245819967,Hyades,1.0,8.620689655172407,29374.424857739807,0.7588352225880883,2.8356735477197676e-05,0.13655439547625198,8.67361
17336696,Hyades,1.0,8.849557522123886,24622.023525556313,0.48988737992543196,4.407773674070219e-05,0.11821390688705191,8.648896
245831726,Hyades,1.0,9.259259259259252,4977.058955736195,0.32153990761637863,6.307420994823936e-05,0.15506036909863674,8.728549
303760478,Hyades,1.0,9.615384615384608,5321.4793532505155,0.30949037070188523,5.7769139912666856e-05,0.15761063804210673,8.791766
18585208,Hyades,1.0,9.523809523809517,35392.124760158484,0.664798530636316,2.040062313906709e-05,0.158131244810872,8.834197
245800048,Hyades,1.0,9.009009009009002,75797.39538758558,0.8148918036565623,1.2075286513997263e-05,0.14653149625800233,8.859189
435930763,Hyades,1.0,9.523809523809517,31777.32658216085,0.7263689342300484,2.343649377693462e-05,0.11591509333958169,8.887173
245873351,Hyades,1.0,9.900990099009894,19882.130456990075,0.717976174696652,3.611163181178247e-05,0.1828065530642538,9.142798
15757189,Hyades,1.0,9.259,44923.459578006565,0.6819309185575129,2.5426812098771738e-05,0.14110467162558815,9.03908
15902489,Hyades,1.0,9.090909090909085,27792.703182667396,0.6806770845443159,2.642166654124924e-05,0.16145188947806596,9.199288
245787510,Hyades,1.0,10.526315789473676,33617.44092868967,0.7718821548987546,2.296076481657525e-05,0.1775200670975205,9.218413
60005364,Hyades,1.0,6.944444444444439,53403.843245328964,0.9032510600161887,2.0087228929838864e-05,0.1120803175415829,9.234275
245824893,Hyades,1.0,9.009009009009002,30325.874720175118,0.6285989049288324,4.641747071636561e-05,0.13933149470020095,9.247976
435903398,Hyades,0.0,9.615384615384608,8805.341705012755,0.3827339129068902,6.071936337500119e-05,0.1376156131463324,9.294652
17099206,Hyades,0.0,8.064516129032253,71.46520079789953,0.0081747595821854,0.00011162909589490001,0.10389153557353945,9.311741
436567527,Hyades,1.0,5.076142131979692,13385.01110059326,0.6606201301258166,5.518522237563415e-05,0.08093694374024599,9.519791
348664634,Hyades,1.0,5.524861878453034,16879.547147299127,0.620064663244948,4.071758416123118e-05,0.08307744643056977,9.604419
17383020,Hyades,1.0,11.49425287356321,7181.287060916836,0.4833610087946135,7.871243139070933e-05,0.1703084767631566,9.650242
245937103,Hyades,1.0,10.309278350515456,9295.50277646818,0.4899275028064112,5.21215167693852e-05,0.17628595552881693,9.665218
14331880,Hyades,1.0,9.999999999999991,5240.935940040596,0.35553521182201464,8.956302205634682e-05,0.13568748268993533,9.780697
